Date,XOM,CVX,MRO,PSX,VLO,SLB,HAL,OXY,EQT
2022-11-15,0.00668134,0.00800859,0.01344764,0.00767949,0.02818103,0.01103561,0.0223502,0.01557137,0.03227959
2022-11-14,-0.00510295,0.00048256,-0.01162448,-0.00938805,0.02097876,-0.01377559,-0.01797157,-0.01422692,-0.00588306
2022-11-11,0.03074423,0.02806362,0.03970745,0.04652857,0.01133603,0.03187816,0.02429904,0.05318566,-0.0065482
2022-11-10,0.01458549,0.0187629,0.0311772,0.02044478,0.03417495,0.00056513,0.02680407,0.03685122,0.04920983
2022-11-09,-0.04576842,-0.04080176,-0.06631217,-0.00975151,-0.03266381,-0.03006908,-0.06723456,-0.09674111,-0.07316307
2022-11-08,0.00316289,-0.00145572,-0.00912415,-0.0030398,0.00356021,-0.00219178,-0.00430871,-0.01511965,-0.00544713
2022-11-07,0.01177265,0.01186909,0.03074328,0.01866887,0.02349436,0.03169573,0.02717419,0.03618728,0.07275081
2022-11-04,0.01083221,0.0125636,0.01922833,0.003485,-0.00766169,0.02478678,0.04301167,0.01526537,0.04302541
2022-11-03,0.01350209,0.0146264,0.05427942,-0.00116302,0.0303694,0.01282318,0.02945843,0.01479854,-0.02806498
2022-11-02,-0.02076637,-0.02062615,-0.03856138,-0.03931757,-0.03260266,-0.00798524,-0.01964374,-0.03727139,-0.00689488
2022-11-01,0.00987795,0.00727036,0.01564059,0.02919846,0.03483036,-0.00926826,0.00219419,0.01639381,-0.02639698
2022-10-31,0.00099318,0.00509866,0.00956945,0.00086335,-0.00341908,0.03083773,0.01298899,0.0105235,0.07853015
2022-10-28,0.02886798,0.01162414,-0.01186566,0.00616097,-0.01801425,-0.02408811,-0.00886187,-0.00041751,-0.0107998
2022-10-27,0.00381947,0.00456352,0.01120275,0.01263257,0.01199967,-0.00962842,-0.00577321,-0.00900345,0.00230444
2022-10-26,0.01183001,0.01227218,0.01771733,0.02015082,-0.0004733,-0.0055423,0.0419877,0.01991571,-0.01501109
2022-10-25,-0.00677713,0.01034314,0.00608933,-0.00179444,-0.01890534,0.0061174,0.01150099,0.00366404,0.03259624
2022-10-24,0.00696605,-0.0003465,0.01091788,-0.00039833,0.01151943,0.03393461,0.02045061,-0.00605252,0.01180961
2022-10-21,0.01839987,0.02472726,0.03206967,0.02724964,0.02617328,0.09831011,0.06777082,0.03440494,-0.07278714
2022-10-20,0.00134797,0.00569802,-0.00424179,-0.00214625,0.00386474,0.00482669,-0.00943107,0.00568059,-0.03544675
2022-10-19,0.02923127,0.03193305,0.02826158,0.01896378,0.05181992,0.04751541,0.04807077,0.00998247,0.00952161
2022-10-18,0.00178731,0.00870295,0.01535679,0.00678606,0.01886848,0.01159837,0.01555035,0.0062158,0.0
2022-10-17,0.01431384,0.00727955,0.00332165,0.01434926,0.01202,0.01646709,0.01952924,0.01014631,0.01639776
2022-10-14,-0.02666029,-0.03159257,-0.04623431,-0.02932147,-0.05738232,-0.04702661,-0.05619456,-0.01960265,-0.07582578
2022-10-13,0.03435185,0.04732705,0.03191951,0.0417254,0.0479631,0.05035282,0.04302092,0.04342956,0.01865386
2022-10-12,0.00437816,0.00298593,0.01468455,0.02837379,0.04901154,0.00620675,0.0080863,0.01672642,0.0
2022-10-11,-0.0085349,0.00019089,-0.01759576,-0.00848724,-0.01060994,-0.00882113,0.00033835,-0.02468118,0.01807278
2022-10-10,-0.02191512,-0.01822417,-0.01514634,-0.01514108,-0.02599862,-0.01085941,-0.02868776,-0.0616011,-0.00930889
2022-10-07,-0.01014337,-0.00864837,-0.0110341,-0.00925434,-0.04670377,0.00235073,0.01992759,-0.0099787,-0.01767926
2022-10-06,0.02922964,0.01806581,0.0382442,0.00806586,0.00952348,0.02189,0.01930627,0.03993586,-0.03136458
2022-10-05,0.03961627,0.00569334,0.02570453,0.02459544,0.00432809,0.06074491,0.03905657,0.02344966,0.00952916
2022-10-04,0.03579633,0.03814789,0.05946963,0.06610386,0.04585605,0.02118395,0.06387492,0.03240704,0.07296104
2022-10-03,0.05145363,0.05458362,0.10061055,0.04671146,0.04983692,0.0647126,0.06904703,0.04159631,0.02424361
2022-09-30,-0.01556938,-0.00762727,-0.00969598,0.00111559,-0.00364333,-0.00194796,-0.00081202,-0.01068317,0.03039596
2022-09-29,-0.00202771,-0.00695236,0.00571807,-0.00950448,-0.01444202,0.01484413,-0.00405023,0.01133432,-0.03186727
2022-09-28,0.03574264,0.03319691,0.05811894,0.06575138,0.07270906,0.04206901,0.04041787,0.04803325,0.03795712
