Date,XOM,CVX,MRO,PSX,VLO,SLB,HAL,OXY,EQT,XOM,CVX,MRO,PSX,VLO,SLB,HAL,OXY,EQT,XOM,CVX,Spread,Ratio,Log_XOM,Log_CVX
2023-01-09,108.47,175.18,27.03,102.01,128.58,55.64,40.44,64.08,34.67,-0.01881334,-0.00784675,0.01603614,-0.03553405,0.00796444,0.02070167,0.00570367,0.00516312,0.03911688,108.47,175.18,66.71,1.615008758,-0.01881334,-0.00784675
2023-01-06,110.53,176.56,26.6,105.7,127.56,54.5,40.21,63.75,33.34,0.01201434,0.0075043,0.02782722,0.02568175,0.00763332,0.03415467,0.03183695,0.02429269,0.03852509,110.53,176.56,66.03,1.597394373,0.01201434,0.0075043
2023-01-05,109.21,175.24,25.87,103.02,126.59,52.67,38.95,62.22,32.08,0.02212746,0.01784836,0.0214894,0.02297597,0.05663347,0.01858825,0.01344037,0.01800097,-0.03461825,109.21,175.24,66.03,1.604614962,0.02212746,0.01784836
2023-01-04,106.82,172.14,25.32,100.68,119.62,51.7,38.43,61.11,33.21,0.0029063,-0.01068973,-0.01255903,-0.00347033,-0.00350497,0.00387597,0.02023988,0.00098232,0.04275601,106.82,172.14,65.32,1.611495975,0.0029063,-0.01068973
2023-01-03,106.51,173.99,25.64,101.03,120.04,51.5,37.66,61.05,31.82,-0.03496505,-0.03112167,-0.05427247,-0.02974233,-0.0552591,-0.0373519,-0.04389745,-0.03128278,-0.06125296,106.51,173.99,67.48,1.633555535,-0.03496505,-0.03112167
2022-12-30,110.3,179.49,27.07,104.08,126.86,53.46,39.35,62.99,33.83,0.01002286,0.00653981,0.01077076,-0.0002882,0.00426575,0.01034135,0.01227323,0.01133564,-0.00118168,110.3,179.49,69.19,1.627289211,0.01002286,0.00653981
2022-12-29,109.2,178.32,26.78,104.11,126.32,52.91,38.87,62.28,33.87,0.00753749,0.00754296,0.00749629,0.01900571,0.00770855,0.00587624,0.02053353,0.00321647,0.01098423,109.2,178.32,69.12,1.632967033,0.00753749,0.00754296
2022-12-28,108.38,176.98,26.58,102.15,125.35,52.6,38.08,62.08,33.5,-0.01656258,-0.01486245,-0.03946667,-0.02351001,-0.00842077,-0.01696553,-0.03077166,-0.03560221,-0.08137362,108.38,176.98,68.6,1.63295811,-0.01656258,-0.01486245
2022-12-27,110.19,179.63,27.65,104.58,126.41,53.5,39.27,64.33,36.34,0.01379836,0.01249211,0.00762393,0.00613852,0.0162696,0.00957844,0.00459419,0.00592456,0.00358374,110.19,179.63,69.44,1.630184227,0.01379836,0.01249211
2022-12-23,108.68,177.4,27.44,103.94,124.37,52.99,39.09,63.95,36.21,0.02610141,0.03044758,0.02733824,0.03335762,0.03894094,0.03065962,0.04045965,0.03419816,0.03398726,108.68,177.4,68.72,1.632315053,0.02610141,0.03044758
2022-12-22,105.88,172.08,26.7,100.53,119.62,51.39,37.54,61.8,35.0,-0.02038025,-0.01511073,-0.03821185,-0.0276651,-0.02525929,-0.03668033,-0.02862215,-0.03075204,-0.04579248,105.88,172.08,66.2,1.625236116,-0.02038025,-0.01511073
2022-12-21,108.06,174.7,27.74,103.35,122.68,53.31,38.63,63.73,36.64,0.0127592,0.01168796,0.02149837,0.00689357,0.00654239,0.02950628,0.03182386,0.02157102,0.01374025,108.06,174.7,66.64,1.616694429,0.0127592,0.01168796
2022-12-20,106.69,172.67,27.15,102.64,121.88,51.76,37.42,62.37,36.14,0.01434934,0.01628995,0.00442969,0.01997606,0.0179648,0.03800044,0.0370211,-0.00064113,0.00083045,106.69,172.67,65.98,1.618427219,0.01434934,0.01628995
2022-12-19,105.17,169.88,27.03,100.61,119.71,49.83,36.06,62.41,36.11,0.00447897,0.00685177,-0.01103764,-0.00029814,0.00284424,0.00907173,0.00584065,-0.00192092,-0.03081362,105.17,169.88,64.71,1.615289531,0.00447897,0.00685177
2022-12-16,104.7,168.72,27.33,100.64,119.37,49.38,35.85,62.53,37.24,-0.00704295,-0.01365691,-0.01920697,-0.0082134,-0.00459694,-0.01467511,-0.02316067,-0.01002475,-0.0262371,104.7,168.72,64.02,1.611461318,-0.00704295,-0.01365691
2022-12-15,105.44,171.04,27.86,101.47,119.92,50.11,36.69,63.16,38.23,-0.00962726,-0.0075138,0.01409747,0.00187423,0.00158565,-0.00636565,0.00382305,-0.00819935,0.01104693,105.44,171.04,65.6,1.62215478,-0.00962726,-0.0075138
2022-12-14,106.46,172.33,27.47,101.28,119.73,50.43,36.55,63.68,37.81,-0.00739323,-0.00693925,-0.00761563,-0.00835755,-0.00665948,-0.01221931,-0.01223673,-0.009378,0.01868714,106.46,172.33,65.87,1.618730039,-0.00739323,-0.00693925
2022-12-13,107.25,173.53,27.68,102.13,120.53,51.05,37.0,64.28,37.11,0.01087477,0.02202373,0.01822872,0.00058766,-0.00107799,0.03894651,0.07577256,0.00389682,0.00540396,107.25,173.53,66.28,1.617995338,0.01087477,0.02202373
2022-12-12,106.09,169.75,27.18,102.07,120.66,49.1,34.3,64.03,36.91,0.02432978,0.01036279,0.03786769,0.04069137,0.05109266,0.04434993,0.03833481,0.02258645,0.03417252,106.09,169.75,63.66,1.600056556,0.02432978,0.01036279
2022-12-09,103.54,168.0,26.17,98.0,114.65,46.97,33.01,62.6,35.67,-0.00846322,-0.03244414,-0.0252796,-0.02916245,-0.01943486,-0.06091262,-0.05481631,-0.01757626,-0.00056054,103.54,168.0,64.46,1.622561329,-0.00846322,-0.03244414
2022-12-08,104.42,173.54,26.84,100.9,116.9,49.92,34.87,63.71,35.69,0.00740139,0.00589495,-0.0210146,-0.02069614,-0.02775496,0.00240674,-0.00514875,-0.00375999,-0.02872332,104.42,173.54,69.12,1.661942157,0.00740139,0.00589495
2022-12-07,103.65,172.52,27.41,103.01,120.19,49.8,35.05,63.95,36.73,-0.00221655,0.00296056,-0.00145826,-0.00067931,0.01112749,-0.02145494,-0.03228351,-0.00296667,-0.00488866,103.65,172.52,68.87,1.66444766,-0.00221655,0.00296056
2022-12-06,103.88,172.01,27.45,103.08,118.86,50.88,36.2,64.14,36.91,-0.02818959,-0.02610815,-0.03823943,-0.01032678,-0.01751358,-0.00977907,-0.01698206,-0.03402627,-0.0043255,103.88,172.01,68.13,1.655852907,-0.02818959,-0.02610815
2022-12-05,106.85,176.56,28.52,104.15,120.96,51.38,36.82,66.36,37.07,-0.02778085,-0.025002,-0.04188735,-0.02381404,-0.0492782,-0.02707279,-0.05418157,-0.02749672,-0.0743199,106.85,176.56,69.71,1.65240992,-0.02778085,-0.025002
2022-12-02,109.86,181.03,29.74,106.66,127.07,52.79,38.87,68.21,39.93,-0.00851995,-0.00803261,-0.01169995,-0.01285532,-0.03829105,0.01970413,0.02553552,-0.00861256,-0.03904732,109.86,181.03,71.17,1.647824504,-0.00851995,-0.00803261
2022-12-01,110.8,182.49,30.09,108.04,132.03,51.76,37.89,68.8,41.52,-0.00486181,-0.00448333,-0.01778703,-0.0036955,-0.01197078,0.00406544,0.0,-0.00997911,-0.02120894,110.8,182.49,71.69,1.647021661,-0.00486181,-0.00448333
2022-11-30,111.34,183.31,30.63,108.44,133.62,51.55,37.89,69.49,42.41,0.00721114,0.01251595,0.0091834,-0.00487559,-0.01175521,0.00974667,0.01945431,0.00548342,-0.00587753,111.34,183.31,71.97,1.646398419,0.00721114,0.01251595
2022-11-29,110.54,181.03,30.35,108.97,135.2,51.05,37.16,69.11,42.66,0.00662585,0.01485878,0.01795261,0.01060944,0.00266627,0.02318542,0.03505288,0.01281509,0.02708647,110.54,181.03,70.49,1.637687715,0.00662585,0.01485878
2022-11-28,109.81,178.36,29.81,107.82,134.84,49.88,35.88,68.23,41.52,-0.0304929,-0.02950001,-0.01894059,-0.02708308,-0.02605915,-0.01886661,-0.01328923,-0.02960291,-0.03572231,109.81,178.36,68.55,1.624260086,-0.0304929,-0.02950001
2022-11-25,113.21,183.7,30.38,110.78,138.4,50.83,36.36,70.28,43.03,-0.00352703,-0.00293526,-0.00884817,0.00063208,-0.00583554,-0.01154047,-0.00548548,-0.01188133,-0.01224175,113.21,183.7,70.49,1.622648176,-0.00352703,-0.00293526
2022-11-23,113.61,184.24,30.65,110.71,139.21,51.42,36.56,71.12,43.56,-0.00500462,-0.00891585,-0.01746487,-0.01417064,-0.01970262,-0.04226786,-0.02405196,-0.02293519,-0.00503779,113.61,184.24,70.63,1.621688232,-0.00500462,-0.00891585
2022-11-22,114.18,185.89,31.19,112.29,141.98,53.64,37.45,72.77,43.78,0.02851626,0.02533298,0.0375677,0.02946174,0.04332548,0.02587247,0.03588316,0.0446829,0.05758846,114.18,185.89,71.71,1.62804344,0.02851626,0.02533298
2022-11-21,110.97,181.24,30.04,109.03,135.96,52.27,36.13,69.59,41.33,-0.00995301,-0.00960939,-0.02498486,0.00036694,-0.01213554,-0.02213694,-0.01592565,-0.02357394,0.00728512,110.97,181.24,70.27,1.633234207,-0.00995301,-0.00960939
2022-11-18,112.08,182.99,30.8,108.99,137.62,53.44,36.71,71.25,41.03,-0.00870575,-0.00599326,-0.01610341,-0.00676667,-0.00210503,0.01148032,-0.02049142,-0.00294303,-0.01595779,112.08,182.99,70.91,1.632673091,-0.00870575,-0.00599326
2022-11-17,113.06,184.09,31.3,109.73,137.91,52.83,37.47,71.46,41.69,0.00132761,-0.004877,-0.00478089,0.01885894,0.01740828,-0.00302401,-0.01009037,-0.00655557,0.00480886,113.06,184.09,71.03,1.628250486,0.00132761,-0.004877
2022-11-16,112.91,184.99,31.45,107.68,135.53,52.99,37.85,71.93,41.49,-0.01074711,-0.01640612,-0.04628874,-0.03135684,-0.03750802,-0.0312119,-0.02762031,-0.03416566,-0.05326772,112.91,184.99,72.08,1.638384554,-0.01074711,-0.01640612
2022-11-15,114.13,188.05,32.94,111.11,140.71,54.67,38.91,74.43,43.76,0.00668134,0.00800859,0.01344764,0.00767949,0.02818103,0.01103561,0.0223502,0.01557137,0.03227959,114.13,188.05,73.92,1.647682467,0.00668134,0.00800859
2022-11-14,113.37,186.55,32.5,110.26,136.8,54.07,38.05,73.28,42.37,-0.00510295,0.00048256,-0.01162448,-0.00938805,0.02097876,-0.01377559,-0.01797157,-0.01422692,-0.00588306,113.37,186.55,73.18,1.645497045,-0.00510295,0.00048256
